,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-2667874153709252756,Copel faz propaganda genial sobre o Limite de Banda Larga residencial - Critical Hits,[Tools] How to Record your Desktop Screen with YouTube,"Google anuncia MODE, pulseiras com tecnologia snap-and-swap para Android Wear | Google Discovery",[Videos] This fake TED Talk about nothing might be the best you've ever seen,Deputada mais jovem da Câmara silencia o plenário com lucidez do discurso (veja o vídeo),Financial services firm processes 25 billion stock market events per hour with Google Cloud Bigtable
-2639327025262198345,[Coaching] O que faz o OKR funcionar?,[Books] Biblioteca FIXE: Sugestões de Leitura,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,Presenting to the Boss(es) | Pluralsight,"Facebook lança Workplace, versão da rede social para empresas"
-2630716662499331227,Digital Consumers Forced to Open Accounts in Branches,The cynical bankers' trick: show me the money - Chris Skinner's blog,Where is the bank's digital vision? - Chris Skinner's blog,Bradesco oferece saques com tecnologia de aproximação - Meio & Mensagem,Microsoft and Bank of America Merrill Lynch Collaborate to Transform Trade Finance Transacting With Azure Blockchain as a Service,"XP lançará robô que seleciona melhores investimentos para clientes, diz CEO"
-2584174137395076448,"Elektro, Google e Sama lideram entre as melhores empresas para trabalhar em 2016",Bradesco vai lançar novo banco digital: o Next.,Fuchsia: Google está construindo um novo sistema operacional sem estrutura do Linux | Google Discovery,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,The brilliant mechanics of Pokémon Go,The next wave in software is open adoption software
-2559385310537355580,"Google's head of advertising talks ad blocking, mobile and micropayments","A sneak peek at Google's upcoming travel app, Trips",America's allies are preparing for a bumpy ride,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Shopping app Spring's redesign could be a game-changer,Everything you need to know about the big changes coming to Newark airport
-2555801390963402198,Curta do Google pode ser o primeiro filme em realidade virtual indicado ao Oscar,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",How Blockchain Technology Can Improve the Insurance Industry,Wide & Deep Learning: Better Together with TensorFlow,Twitter adds a button to help you train its algorithm,Gmail API: New endpoints for settings
-2554512494756911972,How enterprise architects can help ensure success with digital transformations,Confirmed: Walmart buys Jet.com for $3B in cash,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Need Some AI? Yeah, There's a Marketplace for That",A Beginner's Guide To Understanding Convolutional Neural Networks,Apache Spark 2.0 Preview: Machine Learning Model Persistence
-2549933363319068481,The real reasons you procrastinate - and how to stop,10 Stats About Artificial Intelligence That Will Blow You Away -- The Motley Fool,The Rise And Growth of Ethereum Gets Mainstream Coverage,Creating Compound Views on Android,Facebook at Work pushed to 'later this year',Say Hello to React CDK - KADIRA VOICE
-2548446404469756145,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",[Books] Biblioteca FIXE: Sugestões de Leitura,"Facebook lança Workplace, versão da rede social para empresas",[Videos] Bill Gross: The single biggest reason why startups succeed,[Videos] This fake TED Talk about nothing might be the best you've ever seen,Digital Leadership Is Not an Optional Part of Being a CEO
-2547386150711652030,TensorFlow v0.9 now available with improved mobile support,"Handling context in ""outside-in""",How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic,Deep Learning Race: A Survey of Industry Players' Strategies - Intuition Machine,Google's new translation software is almost as good as human translators,New free Trend Briefing from TrendWatching | INNOVATION CELEBRATION 2016
-2539915991213675511,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com,Blockchain won't kill banks: Bitcoin pioneer,Google e GFT firmam parceria para testes com foco em blockchain - Startupi,Are you a bitcoin denialist? - Chris Skinner's blog,Starbucks tem mais dinheiro do cliente em cartões do que bancos
-2516726696296387544,When will AI and NLP actually turn Siri into your best friend?,Usability Heuristics for Bots - Chatbots Magazine,Artificial Intelligence Can Now Design Realistic Video and Game Imagery,The next AI is no AI,Building AI Is Hard-So Facebook Is Building AI That Builds AI,Effective learning through code workshops | Box Blog
-2504825704002833401,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Facebook is open-sourcing its AI bot-building research,Manage Client-Side Packages with Bower - ASP.NET documentation,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,bliki: StranglerApplication
-2494226662129766130,Dafiti registra alto crescimento no 1º semestre de 2016,Não existe frete grátis!,Black Friday salva o ano do e-commerce,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,X-Men | São Paulo vai receber exposição sobre filmes da saga,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil
-2489051066377567114,I've had the chance to troll Donald Trump. But I didn't.,SOA com microserviços - Sensedia,gotwarlost/istanbul,Manage Client-Side Packages with Bower - ASP.NET documentation,Testes unitários vs aceitação - Android Dev BR,Worldwide Ops in Minutes with DataStax & Cloud
-2487699318115820990,"Google saves Allo conversations, a win for machine learning but a loss for privacy - Tech2",The Competitive Landscape for Machine Intelligence,"Facebook, Amazon, Google, IBM and Microsoft come together to create historic Partnership on AI",IBM Seeks to Simplify Graph with New Titan Service,Introducing the Open Images Dataset,Blog | Niantic
-2479936301516183562,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",The technology behind preview photos,gotwarlost/istanbul,Manage Client-Side Packages with Bower - ASP.NET documentation,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",bliki: StranglerApplication
-2476100034099959458,[Retro] Celebration Grids - Management 3.0,"National Coming Out Day - Wikipedia, the free encyclopedia","contentId
7078276984547732873    How Companies Are Using Machine Learning to Ge...
7078276984547732873    How Companies Are Using Machine Learning to Ge...
Name: title, dtype: object",Comprar roupas está ficando fora de moda no Reino Unido,Netshoes é grande vencedora do Prêmio BR Week 2016,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção"
-2462651558329037716,Curso mbed na KL25Z - Primeiros passos - Embarcados,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,"STEMTera, uma protoboard com Arduino Uno embutido","SINAIS do FUTURO imediato: #1, internet das coisas",Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Uma arquitetura de referência para a Internet das Coisas - Parte 1
-2447632164766022033,O que o GitHub tem a nos dizer sobre os estereótipos entre programadores | Tecnoblog,Anti-If: The missing patterns,Top Programming Languages Trends: The Rise of Big Data,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Migrating from Parse to Bluemix,10 Modern Software Over-Engineering Mistakes
-2440247087447106971,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,"ConstraintLayout, Inside and Out: Part 1",Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Exploring Java's Hidden Costs,Omnitone: Spatial audio on the web,"ConstraintLayout, Inside and Out: Part 2"
-2430889785264760757,Top 100 Best Blogs for iOS Developers to Learn and Gain Insights,How Green Was My Valley (1941),WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,The 24 best restaurants in New York City,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Perfect Menu for Mobile Apps - UX Planet
-2424983931459616622,All Together Now. Introducing G Suite.,New Early Adopter Programs: Team Drives and a new Hangouts video meetings experience,Google Cloud Platform sets a course for new horizons,Save time with Quick Access in Drive,"Explore in Docs, Sheets and Slides makes work a breeze - and makes you look good, too",Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery
-2423593292146522678,Services | RaRe Technologies,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,Deep learning software knows that a rose is a rose is a rosa rubiginosa
-2410328180964789831,Machine Intelligence - Research at Google,"Meet Articoolo, the robot writer with content for brains",5 open-source alternatives to Slack,Finding The Meaning Of Artificial Intelligence At Google I/O,Get ready for Google I/O 2016,A Neural Network that Dreams in Resumes - untapt blog
-2405892683303291957,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Uma arquitetura de referência para a Internet das Coisas - Parte 1,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles,Google Now on Tap estreia no Brasil | Google Discovery,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"Google Duo, aplicativo de chamadas em vídeo | Google Discovery"
-2402288292108892893,Como testar exceções em Java com o JUnit - Code a Test,Java 8 Streams : 10 missing features,Google's fair use victory is good for open source,Don't document your code. Code your documentation.,In defense of the Uber-ization of everything,Swift Top 10 Articles For The Past Year (v.2017)
-2402157201203242566,Number26 raises another $40 million for its vision for the future of banking,Why your wallet is becoming the next platform,"Amazon looking to buy Capital One? "" Banking Technology",Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,Conversational Banking; from branches to bots. - Chatbots Magazine,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor
-2388274433047018803,Scientists discover potentially habitable planets,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'","Google's AI engine is reading 2,865 romance novels to be more conversational","Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform",Uma arquitetura de referência para a Internet das Coisas - Parte 1,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur
